index,comments
175,Pasangan yang serasi pasangan yang sempurna Ganjar Mahfud sungguh luar biasa
176,Terima kasih banyak ibu Megawati dan teman-teman koalisi lainnya telah mengusung dua pasangan hebat untuk bangsa dan negara ini
177,Alhamdulillah kita mendapatkan calon pemimpin yang terbaik Ganjar Mahfud insya Allah bisa membawa Indonesia menjadi bangsa yang lebih baik
178,Pondasi kuat
179,Info wadas
180,🔥🔥
181,@annisarsmyni_ 🔥
182,gasspoll pak
183,Ganjar Mahfud pasangan yang terbaik dan tepat untuk lndonesia sejahtera nan jaya
184,"Mantap, pasangan serasi dengan kerja nyata,  Ganjar Mahfud untuk Indonesia 🤘🏼🥰"
185,"Dalam dunia politik yang penuh dengan ketidakpastian, keberpihakan pada integritas adalah hal yang sangat berharga. Pak Ganjar dan Pak Mahfud MD memberikan harapan baru bagi Indonesia yang bersih dan jujur"
186,"Pak Ganjar dan Pak Mahfud MD adalah jawaban atas keinginan rakyat Indonesia akan pemimpin yang bersih dan berintegritas. Bersama, mereka akan membawa Indonesia ke arah yang lebih baik."
187,"Dalam politik yang seringkali kompleks, keberpihakan dan kebersihan adalah hal yang sulit ditemui. Namun, Pak Ganjar dan Pak Mahfud MD membuktikan bahwa pemimpin bersih dan berintegritas masih ada di Indonesia"
188,Kita semua setuju bahwa Pak Ganjar dan Pak Mahfud MD adalah pasangan yang luar biasa. Kebersihan dan integritas mereka adalah modal utama untuk memimpin Indonesia ke masa depan yang lebih baik.
189,Pilihan Pak Ganjar untuk berpasangan dengan Pak Mahfud MD adalah langkah bijak. Kedua pemimpin ini membawa semangat baru bagi politik yang bersih dan berintegritas
190,"Kami yakin bahwa dengan Pak Ganjar dan Pak Mahfud MD di depan, negara ini akan dipimpin oleh pemimpin yang bersih dan berintegritas. Kedua tokoh ini adalah teladan bagi seluruh rakyat Indonesia"
191,Pilihan Pak Ganjar memilih Pak Mahfud MD sebagai cawapresnya adalah pilihan cerdas. Kedua pemimpin ini adalah contoh nyata dari kebersihan dan integritas dalam dunia politik
192,Allohu Akbar..... Merdeka ❤️❤️❤️❤️
193,Kami sepenuhnya mendukung pilihan Pak Ganjar untuk berpasangan dengan Pak Mahfud MD sebagai cawapres. Kedua pemimpin ini memiliki integritas yang tidak bisa disangsikan
194,"Siap dukung sepenuhnya Pak, insyaAllah biar indonesia semakin kuat.."
195,"Wah pasangan yang ditunggu-tunggu, Ganjar Mahfud idolaku 🤘🏼🥰"
196,"Track record Pak MAHFUD gak diragukan lagi, mantaap nih Pak GP.. pasti menang 🔥"
197,Ganjar Mahfud akan memajukan Indonesia dengan kinerja mereka
198,Ganjar Mahfud .. keduanya saling melengkapi satu sama lain . Sama2 kuat sama2 berpengalaman dlm negara 🔥🔥
199,Ganjar adalah Ganjar adalah sosok yg bijak terbuka humble terhadap siapapun dan pastinya Istiqomah dalam bekerja utk rakyat
200,Semua akan mendukung Ganjar Mahfud untuk Indonesia
201,Asli ini pecah banget sih pas dpt kabar kalau Ganjar Mahfud . Senangnya kami bukan main. Dukungan Jabar untuk kalian ber2 pak
202,Semoga bapak selalu diberikan kesehatan
203,Selamat Pak @ganjar_pranowo  dan Pak @mohmahfudmd  Bismillah semoga Menang ❤️❤️🇮🇩🇮🇩🇮🇩😇😇🤟🤟
204,Indonesia maju bersama pak ganjar dan pak mahfud sukses buat keduanya semangat untuk menang
205,always Ganjar Mahfud
206,all in
207,"Bismillah Pak, semoga lancar dan Menang bersama Prof Mahfud ❤️❤️"
208,"Alhamdulillah Ganjar Mahfud semangat pak,semoga harapan masyarakat terkabul dengan menenangkan pemilu 2024 , amiiiin"
209,YESS pisan pasangan Ganjar Mahfud top
210,"Mantap sekali, pasangan yang pas ini Ganjar Mahfud pilihan kita gass terus pak ampe menang kami selalu mendukung kalian semangat Ganjar Mahfud menang"
211,Masya Allah Ganjar Mahfud yakin dan mantap untuk lndonesia
212,😍
213,Ganjar Mahfud pokok nya mah semangat teruus 🔥
214,Pasangan Ganjar Mahfud pilihan orang cerdas yg bisa bikin lndonesia bangkit
215,🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸
216,Mantap nih pasangan Ganjar Mahfud insyaallah menang
217,"Ganjar Mahfud ,pasangan terbaik untuk bangsa"
218,Sukses selalu pak Ganjar Mahfud yg jadi pasangan jempolan
219,"Bismillah Presiden-Wakil Presiden RI 2024
Ganjar Mahfud🔥"
220,Kami yakin indonesia akan semakin jaya ditangan kalian 🔥🔥🔥
221,"Indonesia terus maju apalagi dipimpin oleh pak ganjar dan pak mahfud pilihan kita semua, kedua orang hebat yang selalu bermasyarakat dan selalu mnginspirasi banyak orang dukung mereka sampai menang tetap semangat menuju kemenangan pak GANJAR DAN MAHFUD"
222,"Ganjar Mahfud pilihan yang terbaik untuk indonesia, indonesia maju bersama GAMA tetap dukung mereka terus melangkah untuk menang pilihan terbaik untuk indonesia"
223,Ganjar Mahfud jadi pasangan pilihan lndonesia
224,Makim semangat dukung Ganjar Mahfud
225,Yes yes yes yes ❤️❤️❤️🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩
226,GMNI vs HmI sudah cocok pokokeeee🔥
227,"Ganjar Mahfud  emng cocok banget dah ,  siap2 nih para koruptor  pada ketar ketir dah 😂😂😂 saya suka ituh"
228,"Tadinya mau Golput, eh pak Ganjar gandeng Pak Mahfud. YA GABAKAL GOLPUT LAH.. ORANG SETEGAS DAN SELURUS PAK MAHFUD JAN SAMPE GA DI COBLOS😭😭 delok en pah @saputroandi435 . Ada harapan baru 😍"
229,"@kevin_dwi_apriandi mirip sanak kau pin, pak mahfud"
230,"Bismillah Presiden-Wakil Presiden RI 2024
Ganjar Mahfud🔥"
231,Yang bener pak
232,"Bismillah Presiden-Wakil Presiden RI 2024
Ganjar Mahfud🔥"
233,Wah...impianku jd kenyataan. Slamat buat pak @ganjar_pranowo dan pak @mohmahfudmd ...pasangan solid🔥🔥🔥❤️
234,hati gue semakin mantap untuk memilih pak ganjar setelah berdampingan dgn pak Mahfud 🔥
235,Gaspol lek🤟🏿
236,Bismillah MENANG 1 putaran 🙌🔥
237,Bismillah💝💝💝💝💝🔥🔥🔥🔥🔥
238,"Pinter nyari suara, pilih pak mahfud untuk nyari suara, ntar juga ujung2nya kaya wakil yang skarang kyai maaruf, hehe #2024prabowopresiden ❤️"
239,Wow 🔥🔥🔥
240,Gaspol 👍 pak Ganjar Pranowo dan pak Mahfud MD untuk Indonesia 🇮🇩 lebih maju lagi💪🤟🤟
241,"mantapp, all in ke Ganjar Mahfud😍"
242,Satu putaran auto win 🔥🔥
243,Pasangan terbaik ini sih Ganjar Mahfud
244,Yukk bisa yuukk.. yakin dan manteb udah sama pilihan gw
245,Kami Sekeluarga dgn keyakinan penuh Pilih GP & Mahfud MD 👍👍
246,"Salfok sama baju nya Pak Mahfud, bagus euy"
247,Gak sabar nunggu beliau berdua pimpin Indonesia 🔥
248,"Dukung banget nih, orang2 baik pimpin Indonesia mantep gak tuh"
249,Sudah ku duga ini pasangan nya Pak GP hehe.. support selalu Ganjar Mahfud🔥
250,Mantepp nih pasangan yg pas Ganjar Mahfud
251,"Semoga Tuhan Memberkati Bapak Ganjar & Mahfud MD… menjadi Presiden & Wapres Indonesia ke.8… Bapakku Kalo udah dilantik Presiden🇮🇩 ke.8. jangan lupa dolanan ke UGM Yokjakarta… karena Bapak berdua senior kami, Amin TYM🙏"
252,😍😍👌👍💪❤️🇲🇨🇲🇨
253,Bersatu hati  pak  Ganjar Mahfud yg santai bawa kemajuan buat Indonesia
254,"Ganjar Mahfud, pasangan hebat"
255,Saya yesss untuk mas @ganjar_pranowo dan prof @mohmahfudmd 🔥
256,Dukungan dari awal deklarasi sih ini❤️
257,Bismillah 🙌In shaa Allah lancar
258,Ini tentang kemajuan Indonesia ada di tangan pak  Ganjar Mahfud
259,"Pak  Ganjar Mahfud tuh orang gak gila kekuasaan,,, semua yg dilakukan hanya untuk rakyat"
260,Pak  Ganjar Mahfud adalah orang yg tulus bangun negeri
261,"Karna cara kerja  Ganjar Mahfud tuh sama,, maka Indonesia akan mudah mencapai perubahan"
262,Indonesia akan maju dan bebas korupsi di tangan  Ganjar Mahfud
263,"Bismillahirrahmanirrahim mugi diparingi lancar, di ijabah Gusti Allah Pak ❤️💯"
264,yg sebelah semakin bingung cari saingan pak mahfud 🤙🏻
265,gaspollll ganjarmahfud😍❤️
266,Merdeka 🤟🤟🤟
267,Gaspooll 🔥🔥 #LanjutGan
268,👏👏👏😍
269,"Jadi prabowo apa ganjar bang? @widieros09 
Gw si mendingan ganjar drpd nyoblos gibran 😂"
270,YES! 🇮🇩FOR INDONESIA🇮🇩
271,🔥🔥🔥
272,Mantappp..semoga lolos 1 putaran dan Indonesia dibawah pimpinan 2 tokoh hebat ini bisa menjadi negara yang lebih baik baik baik lagi dari seblmnya 🙏🙏🙏
273,"Lempeng krupuk gendar, Abot enteng tetep Pak Ganjar 🔥"
274,always dukung pak ganjar🙌🙌🙌
275,Ganjar Mahfud terdepan pokoee😍😍
276,InsyaAllah Ganjar Mahfud menang satu putaran
277,Kita taklukan Indonesia bersama Ganjar Mahfud😍
278,"SEHAT TERUS GAMA,..KITA SELALU BERSAMA GAMA"
279,tetap Dukung Ganjar losssss🙌
280,Gaspol pak Ganjar Mahfud😍🔥
281,"Bismillah,Ganjar Mahfud 😍"
282,GAMA satu putaran
283,gasss polll pakkk😻
284,GG
285,GAMA UNTUK INDONESIA 2024-2029
286,Pasangan pemimpin terTHE BEST ini mah❤ GAS POLL Pak Ganjar Mahfud sukses selalu presiden RI 2024❤‍🔥
287,JIKA TIKTOKSHOP BUKA KEMBALI SAYA AKAN MEMILIH INI.KEMBALIKAN EKONOMI KAMI DAN PARA KURIR PAK
288,"Bismillah Presiden-Wakil Presiden RI 2024
Ganjar Mahfud🔥"
289,Ganjar Mahfud tetap di hati😁
290,Gaspoll pak 😍
291,"❤️❤️🔥🔥🔥 setujuu pak, Semangat pak"
292,"Dibalik aja pak, biar pak mahfud presidennya aja 🙏🏻"
293,Gass poll teruss ganjarr Mahfud 😍☝️
294,gaspol trs pak saya dukung Ganjar Mahfud
295,Nice pak ganjar
296,Kolaborasi ini memberikan pilihan yang menarik di Pilpres 2024. Saya berharap mereka dapat membawa perubahan positif dan membantu Indonesia mencapai potensinya. maju ganjar-mahfud 2024❤️
297,Ganjar Mahfud pemimpin yang mampu membawa perubahan lebik baik untuk Indonesia🔥🙌
298,Makin yakin hati pilih pak ganjar mahfud
299,"Astungkara,saya dari Bali mendoakan bapak @ganjar_pranowo dan bapak @mohmahfudmd sehat selalu dan diberikan kesempatan dengan  seijin Sang Hyang Widhi menjadi pemimpin Indonesia selanjutnya 🙏"
300,Bismillah❤️
301,Gaspollll pak ganjarr🔥🔥🔥🔥🔥🔥
302,"Maju terus Ganjar Mahfud, 😍🔥"
303,Bismillahirrahmanirrahim.... kawal Ganjar Mahfud hingga jadi RI 1 & RI 2
304,Alhamdulillah...
305,"Yang like udah 218 k aja,👏 blm lagi yg blm like atau yg ga main ig. Yakin 2024 pasti pus rank lagi.🔥"
306,"bismillah,  Ganjar Mahfud menang🔥"
307,"Bismillah, atas ijin Allah SWT Ganjar-Mahfud untuk Indonesia Raya ❤️❤️❤️❤️❤️"
308,Nah ini nih pasangan yang sangat cocok pa GANJAR DAN MAHPUD MD  wah keren sih ini mah 😍
309,Aminnn semoga pa. GANJAR DAN MAHFUD MD  bisa membangun dan memajukan Indonesia dengan baik 😍
310,Yakin banget sih kalau emang GANJAR MAHFUD  udah pasti bakal cocok dan pasti bakal jadi persidennya ini mah
311,Ganjar Mahfud pasangan yg pas & serasi untuk membangun negeri
312,Gaasss 🔥🔥🔥
313,Lanjut menang
314,Bismillah pak.. Apapun partainya. Saya suka karakter keduanya. Bravo pak  Ganjar Mahfud
315,"Bapak Ganjar Adalah Panutan sosok Capres dan pemimpin yang tegas dan loyalitas tinggi👏apa lagi di damping'i oleh pak mahfud ,masyarakat bakalan all in 💯💯💯💯"
316,Bissmilah bisa jadi capres cawapres yg amanah Pakk❤️❤️ semoga terpilihh
317,Saya yakin pak Ganjar Mahfud menang ❤️
318,🔥🙌😍
319,"Sama sama merakyat , sederhana, sama sama peduli trhadap masa depan bangsa , sama sama memerangi korupsi

Semoga bisa membawa indonesia lebih baik lagi 🔥🔥"
320,Akuuu padamuu pak 😍👏
321,Selamat Pak
322,Bismillahirrahmanirrahim pak Ganjar for RI 1 🇲🇨
323,❤️❤️❤️❤️❤️👏👏 100% ganjat pranowo
324,❤️❤️❤️
325,Bersama No.3 😇🇲🇨
326,🔥🔥🔥🔥🔥👏👏👏👏👏joss pilihanku
327,1 PUTARAN UTK GAMA🔥🔥🔥🔥🔥🔥
328,Love bapak❤️❤️❤️
329,gaspoll Ganjar Mahfud
330,Gass 2024 GanjarMahfud🔥🔥
331,"Ganjar Mahfud Keduanya menunjukkan sikap egaliter, humble, dan tak berjarak saat bergaul/berinteraksi dengan masyarakat biasa."
332,🔥🤟
333,Optimis Ganjar Mahfud bisa membawa perubahan untuk Indonesia
334,Ganjar mahfud untuk perubahan dan kemajuan Indonesia
335,Duet maut Ganjar Mahfud untuk Indonesia lebih maju dan sejahtera
336,Keren🔥🔥
337,gaspoll terus Ganjar Mahfud
338,Musuh para koruptor 🔥🔥🔥🔥🔥
339,Semangat teruss pak🔥🔥
340,Ganjar Mahfud 2024 Menang😍😍🔥
341,Here we go ! 🔥👏🤘
342,MasyaAllah..tabarakallah bapaaaaaaaak...selamat ya pak 😍 yuk bisa yuk menang yuk pak 😇😍 #Bismillah
343,Pokok'e kudu menang bapakeee 😍
344,Ini tentang perjuangan👏
345,"Gak perlu berputar-putar, cukup 1 putaran untuk kemenangan Indonesia bersama GP-MD"
346,🔥🔥🔥
347,"Pas sekali,,, Indonesia semakin maju dgn Ganjar Mahmud presiden dan wakil presidennya,,,👍👍"
348,Semangat Ganjar Mahfud kami akan mendukungmu
349,bismillah tetap kawal Ganjar Mahfud
350,Selalu mendukung Ganjar Mahfud untuk kemajuan Indonesia
351,Semangat selalu Ganjar Mahfud 🔥🔥🔥
352,Indonesia sangat membutuhkan Ganjar Mahfud untuk menjadi pemimpin
353,Ganjar Mahfud akan membawa perubahan untuk Indonesia
354,Bersama Ganjar Mahfud Indonesia maju
355,Semangat untuk memajukan Indonesia bersama Ganjar Mahfud
356,gasspoll pak Ganjar Mahfud 👏
357,Ganjar Mahfud pasti menang 🔥🔥🔥🔥
358,Saya yakin kalian berdua ada untuk menyejahterakan masyarakat indonesia ❤️❤️❤️
359,Bismillah menang
360,Mantaap 🔥🔥
361,"Ganjar-Mahfud,pasangan yang tepat untuk bangsa ini"
