,0
211,ga jadi milih maaf jendral pasangan bukan masih bocil bgt
212,Hattrick + Own Goal.. Luarr Bioskop! 🔥👍🏽
213,DEKLARASI PERANG DIMULAI
214,Mantap👍 banyak yang mendoakan prabowo - Gibran
215,"Masak selama ini sudah disanjung sanjung, sekarang jadi tdk menyanjung lagi. Gembira dong😂😂😂"
216,Hancurkan dinasti oligarki ribawi dajjal laknatullah.... hancurkan komunis atheis dajjal laknatullah yang sembunyi di partai banteng..... bubarkan Indonesia..... maklumat kan berdirinya Kesultanan kesultanan Melayu Nusantara
217,Gembosiiiii
218,@oktaaa.vii semangat
219,Kaesang masuk PSI adalah tameng keluarganya
220,Innalillahi astaghfirulloh
221,akan Kalah lagi
222,Blunder
223,❤️
224,Alhamdulillah
225,GOKIL SIH
226,Ngeriii 🤣
227,kecewa
228,😂😂😂
229,Blender
230,😂😂😂
231,😂😂😂😂
232,Hahahaha wahh kerenn
233,Resmi itu sudah deklarasi dan mendaftar. Media sangat hebat. 👍
234,Duh berat🤦🏽‍♂️
235,"Kecewa sih, tapi jangan terlalu buru buru menyatakan golput atau pilih yg laen, kita liat saja karena orang² di balik mereka adalah org org hebat spt Pak Jokowi dan Prof Yusril.. semoga menjelang debat Capres dan Cawapres Gibran dapet suntikan ilmu dari Prof Yusril 👏"
236,Sebuah penghianatan
237,Mantappp..gass
238,Pk Prabowo lebih cocok sm pk Agus HY cerdas tegas dri Akmil  tegas bhs Inggris  lncar prnh  kuliah di Amerika
239,"Demi jadi cawapres Ampe merubah UU secara tiba2, ckckck hanya Ganjar & Mahfud yg masuk akal"
240,"tadinya mengarah ke prabowo eug, klu cawapres bocah gini mah auto putbal. yakaleeee"
241,Mantap Prabowo 2024🔥
