index,comments
186,"Awalnya kecewa, mau pindah aja gak si. tp setelah ikuti kata hati. Loh kok aku masih tetap Prabowo 😮🥰"
187,"Wait and see, permainan yg sebenarnya akan segera di mulai.. Yang bilang dlu bpk JK bonekanya banteng kalian terkecoh😂 ini jawabannya politik dinamis yg penuh kejutan, langkah pak JK yg tdk bisa di tebak, perlahan lahan merancang penerusnya.. Mas Gibran ❤ pilihan yg tepat Pak! 👏🔥❤️"
188,"Mas gibran dipilih sebagai cawapres bukan tanpa alasan, pasti sudah di pertimbangkan matang-matang. Bismillah pak, siapapun wakilnya ❤️"
189,"Pengen umroh tapi gak ada dananya pak,"
190,Klo bapak jadi presiden berangkatin saya umroh yah pak🙏🥺
191,Kami anak muda all in pak prabowo-gibran🔥
192,❤️
193,Guyss ingat siapa yang bikin piala dunia di Indonesia batal!!! All in Prabowo ♥️🇮🇩
194,Aku padamu pak🔥❤️
195,"Insyaallah dengan adanya mas Gibran, suara anak-anak muda akan lebih terdengar dan tersampaikan.. ❤️🔥"
196,All in 🔥🔥
197,Love You Pak Prabowo..🫶 Bismillah maju pantang mundur..Siap mendung Bapak..💪 @syailendraphoto @juragan_undangan @teguh.arbetson
198,Tetep dhati❤️
199,Bagaimana ini @reni_halawa
200,Siapapun Wakil nya yang penting Presiden nya Bapak @prabowo 🙌 Bismillahirrohmanirrohiim 🤲🏻
201,Halo pak @prabowo love you🙌
202,all in Prabowo & jokowi🔥🔥
203,Akuu wong mu pakkkkkk🔥🔥🔥🔥🔥
204,all in prabowo-gibran 🔥🔥
205,pak prabowo-jokowi sih ini 🔥🔥❤️ menuju indonesia maju dan sejahtera
206,"Lapak prabowo malah bnyak pendukung anies yg komen , kalau mau gabung jangan malu2😂"
207,Pak Prabowo saatnya bpk menjadi pemimpin di republik ini.
208,ALL IN PRABOWO!!!!
209,@rusdiahamid 👍🏻
210,all in bapak prabowo 😍🔥
211,All in untuk kita pak🔥🔥
212,Kamu telah mengecewakan pendukungmu dengan memilih dia!!!mulai sekarang saya sudah unfollow dan tidak akan memilih ANDA!!!!
213,SEMANGATTT PAK SAYA DUKUNG PRABOWO -GIBRAN👏🔥🔥
214,All in Prabowo semangatttt pak🙌🔥
215,1000% buat bapak
216,wowo gemoyyy❤️
217,❤️❤️❤️bismillah menang
218,Bismillah pakk semoga sekali ini beneran rezeki bapakkkk🔥
219,Te peduli wakilnya gibran ato sapa yg penting prabowo presiden😍
220,❤️😍
221,@emysuryanti870 ayo dukung pak prabowo
222,🔥🔥🔥🔥🔥🔥🔥 ALL IN.......BAKAL  KALI KE 3  INI NYOBLOS BELIAU.
