,comments
126,"Hanya orang yang DEFISIT LOGIKA DAN NALAR  yang pilih prabowo dan gibran...yg satu udah tua,ngomong aja gak jelas..yang satu munim pengalaman..tapi sombongnya minta ampun..."
127,Lah kan Denokrasi katanya
128,Jelas dia bioang ga masalah mmg pengkianat. Mencla mencle ga jujur dari awal.
129,Berarti pinalti PDIP copot gak jabatan walikotanya?
130,Rai gedek kalo orang jawa bilang
131,"Mengkianat pdip ngak apa apa, mengkianati kontitusi anda anggap juga ngak apa apa berarti anda telah mengkianati NKRI."
132,Ada yang tau gak kriteria untuk jadi presiden di indonesia itu apa?? 0
133,Capresnya cuma 2 kok. Mau wowo atau Gjr yg menang visi misi mereka sama dan 10 tahun lagi kita ga akan berubah.
134,"Aku rasa itu tidak layak jika di sebut sebuah penghianatan. Tapi ini memprioritaskan pada sebuah panggilan. Gibran juga mungkin memiliki bakat dan kecerdasan seperti ayahnya, dan dia juga mudah di ajak berkembang,,, Wallahu a'lam 🙌"
135,Tidk tertarik......
136,All in Prabowo Indonesia maju RI1 Bismillah❤️❤️
137,"Urat Malu sudah putuss, kalah harus mengakui pemenang pillpres yaa"
138,No attitude
139,"Memang benar,ga mungkin sekali lo mau membantah,tinggalnpunya malu apa tdk?"
140,"Kalo partai sebesar PDIP mungkin sdh biasa di khianati,yg luar biasa penghianat an thd konstitusi, ngakali aturan demi kekuasaan 😢"
141,"Kebo aja di khianati, apa lagi manusia. Mikir bro"
142,"Quotes terbaik ""engga apa-apa"""
143,"Beliau cerdas santun berakhlak mulia berbudi pekerti luhur sederhana jujur bersih track record jelas konsisten dan tuntas menjalankan tugasnya sebagai gubernur DKI Jakarta selama 5 tahun penuh penghargaan dalam dan luar negeri beliau adalah Anies Rasyid Baswedan pantas dan layak untuk memimpin Bangsa Indonesia 2024, gassspooll ‼️🔥🔥🔥"
144,"Kalau pasangan ini menang, entah masyarakat ini masih punya etika atau tidak. Yang sekotor cara ini dimenangkan 🥲"
145,All in pak Prabowo❤️ bissmillah
146,Pasti pilih PRABOWO-GIBRAN
147,"Saya respeck sama pak jokowi tapi tidak dg anak nya. Maaf ya pak jokowi, saya dukung ganjar mahfud."
148,😂 Jawaban yg sangat clear 😂
149,soyo suweh kowe dadi tambah o'on leh ..
150,Strategi macam mana lagi kawan🤩
151,Awalnya saja sdh obrak obrik konstitusi..menjlnkan yg salah..tindakan ga bermoral.. Gmn nti nya yaaa.. Ga ikhlas dipimpin yg kek ginii
152,Ya kalo di wawancara jawab ny itu terus..
153,"""Monggo"""
154,"""Ngga apa2"""
155,Bocil
156,"""Silahkan saja"""
157,"Wkwkkw pendukung banteng merah pada kepanasan nih yeee😂.. dibalik suksesnya pak prabowo dan gibran ada pendukung yg luar biasa dibelakangnya, ada pak SBY, pak Jokowi dan masih banyak lagi.. yg tau seluk beluk negara. Aku tetap dukung Pak Prabowo-Gibran❤️"
158,Gibran 2 tahun menjabat jadi gubernur naik jadi cawapres. Dan bapanya pa Jokowi naik gubernur Jakarta baru naik udh di naek lagi jadi presiden.. instan semuah si kalu di pikir pikir
159,Ini setingan politik coy jgn tertipu 😂 jelas2 maik mak sama puan santai2 baee ada tujuan yg jelass
160,AMIN aja.. Bismillah Allah meridhoi..aamiin
161,Kacang lupa sama kulitnya 😂😂😂
162,Si mental baja
163,Blm2 sdh berbohong.... Program2 yg disebutkan gibran  kata ibu sri mulyani  itu adalah program APBN 2024 yg sdh diketuk... Piye iki... Kecil2 dh bohongi kami ...
164,Kenapa sih kalau orang Sudah melakukan hal dianggap itu Hak nya Justru Di Hujat & di Perbincangkan. Bukankah semuanya sudah di Selesaikan😂
165,yaAllah gib gib ngg ada malu malu mya kau ni @gibran_rakabuming
166,"Soalhkan berrbut  saling sikut , kalo kebamyakaan rakyat akan pilih pak anis is the best pokonya"
167,Msh kecil tp suka boong
168,All in Prabowo -Gibran 🇮🇩 🔥🔥
169,Sekenario yang sempurna 👏
170,Semoga Solo tetap menang Banteng nya...biar padha tahu juga... keluarga ini dulu asalnya dari Banteng juga...
171,Ojo percoyo  Gibran..
172,Ya Tuhan.. yg begini akan jadi pemimpin kami. 😢. Mau jadi apa bangsa ini kedepan😢
173,Anies untuk RT 01 😍
174,Karena bpk dan paman berkuasa😂
175,"Jalanmu sudah tepat Lee,tunjukan pada yang ngemeng wae😂😂😂"
176,"Duet pa'prabowo kurang pas ngk seimbang, jng sampai gagal 3x"
177,Ga nyoblos
178,Cah cilik Kok Gak takut kualat.....😮
179,"Pengkhianat itu buruk bung, kok ini malah ngga apa apa"
180,ini bukan pilihanku.....
181,Dengan kata2 bisa ditebak arogansinya
182,Terima kasih atas ketukan palunya  PAMAN..😂😂
183,sombong bgt jatohnya wkwk kok malah bangga sih
