,comments
135,"pesannya pak ET itu harusnya saya pak yg di posisi si mas2 itu, saya udh urus SKCK saya juga lbh kompeten lho, tp saya bukan anak presiden sih 😓"
136,Mengamankan posisi.. itu kalo menang.. tapi jangan2 bakal 3 kali KO.. 😂😂
137,"Prabowo dan erick thohir sama"" pecinta sepak bola terutama sepak bola Indonesia👏👏👏"
138,Iyalah otomatis kamu masih menterinya kalo Prabowo menang 😂
139,"ET : ""Harusnya saya pak cawapresnya, biar gk rame gini urusannya"" 😂"
140,"pengalaman ada, duit juga ada, tapi kalah sama putra mahkota yang punya previlege buat ngakalin konstitusi lewat pamannya di MK wkwkwkkwkw"
141,Ora ora
142,"mending menitipkan Indonesia hijau ke Green Latern aja, ketimbang menitipkan ke orang yg gagal di food estate"
143,aneh smua ya para politikus
144,Calon pengganti lord opung kalo prabowo jadi😂
145,#ganjarpranowomahfudmd2024🇮🇩✊
146,#ganjarpranowomahfudmd2024🇮🇩✊
147,Gass pak ayo kita menangkaan Prabowo gibran
148,Lah bukan nya ASN dan petinggi negara tidak boleh memihak salah satu Pasoon yah? Kok malah gini?
149,❤️❤️❤️
150,🔥
151,Dalam hatinya nangis
152,"Pak Erick, semangat dan love you 🔥❤️"
153,"Orang yg gendut2 duit dukung prabowo,sudah keliatan ada permainan,2 orang sangat berambisi jadi presiden, 1 orang yg di calonkan, yg tidak berambisi tapi di beri kepercayaan untuk memimpin Indonesia Maju yaitu Pak Ganjar, beliau tidak pernah berambisi untuk jadi presiden, beliau di beri tugas,yg memberi tugas yakin kalau Pak Ganjar amanah bisa mengemban tugas dgn baik seperti Pak Jokowi, Ganjar-Mahfud yg layak jadi President of Indonesia 2024-2029 😍"
154,"Ngga papa suport pak , tapi nanti ujung nya masuk kabinet GAMA."
155,Preettt😂
156,@erickthohir kalau mau dukung mendukung mundur dari mentri BUMN biar sportif🔥
157,Yessss👏
158,"hijau apanya,tanam singkong aja gk hidup"
159,"Ya iyalah sudah bener sikapnya hrs spt itu. Kalau tidak/berlawanan, ngeri loh kalau sudah pencet tombol rudal"" dikeluarkan. Ini aja rudalnya pakde sdh nyasar kemana"", dan blm ada yg mengalahkan. Apalagiiii kalooo..."
160,Disiapkan mengganti posisi gibran pd 7/8 november
161,Gila memang survei.. banyak banget nelan korban... salah satu nya ini.. setelah jokowi minggat dari pdip secara tak langsung.. ada bahlil.. sekarang ni orang.  Ngeri ya survei ngaruh banget.  Sama jiwa2 yang kek gini.. konoha2
162,Bismillah....terimakasih pak Erick
163,GANJAR PRANOWO FOR R1 🔥 RA URUSAN KARO GIBRAN 🤟
164,Skip...
165,Ijo pkb
166,"Dalam politik kaum elit tidak ada kawan dan lawan yang abadi. Semua bisa di negosiasikan demi cuan, jabatan dan kekuasaan. Sedangkan rakyat kecil dikorbankan dan jadi alat permainan."
167,"Cie..cie.cie... tanda2 neh, 😂"
168,"BUMN gak ada yg beres.terutama karya,aku nyantol pak 😢😢"
169,"Prabowo berkuasa demi melangengkan bisnisnya, pernyataan demikian terang2 an dia sampaikan saat menyampaikan gagasanya di UGM dalam acara mata najwa, sudah sepuh, sekarang saatnya anda istirahat pak, dihawatirkan nanti saat menjabat anda tidak maksimal mengemban amanah besar ini, salam perubahan mari menagkam AMIN dipilpres 2024❤️❤️"
170,"Tenang, tenang pak @erickthohir  tetap disisi pak @prabowo walaupun sebagai pemain cadangan, tapi yakinlah setelah keputusan MKMK memecat PAMAN MK, sampeyan akan dimainkan menggantikan anak pak #LurahPetruk. #KitaBukanJokowiLagi"
171,Aamiin2 ❤️ @prabowo @erickthohir
172,BUMN banyak bangkrut gara2 piutang mangkrak
173,Kami jg dukung pak Prabowo dan pak @erickthohir utk Indonesia Maju
174,Pak Ganjar Pak Mahfud ❤️👏
175,Rik rik
176,Cari aman ya pak😂
177,Iya dek soalnya kan yg terpilih pak anis dan pak imin nantinya
178,Sory bung anda sudah saya unfollow...bye
179,Anies..Amin
180,ANIES PRESIDEN.
181,"Nitip proyek paling2...,,semua kalian punya kepentingan di dlm nya,,😂😂😂"
182,Ternyata pak Erick masih ingat siapa yang ikut andil menggagalkan piala dunia FIFA U20 😂 .
183,Pak @erickthohir 👏👏👏👏👏👏
184,Ngurus food estate saja gagal kok
185,"Ya iyalah, lo bales budi dukung anak nya lurah !! Biar bisa dpt jatah kursi lagi !!"
186,ALL IN PAK PRABOWO ❤️
187,"GPP kalo Cang Erik milih Prabowo,ane milih Cang Ganjar aje jadi capres😂😂😂😂"
188,Mentri kl mau cari aman ya dukung Prabowo lah...
189,"Terserah lu Rick, kan memang sudah di arahkan oleh Pak Lurah"
190,"Emang klo dipimpin @ganjar_pranowo @prof.mahfud apakah nkri tidak maju & besar,...???"
191,"setelah janji bbm subsidi gratis yang tak masuk logika, saya beralih all in prabowo saja"
192,Cihuuyyy…. 👍
193,❤️❤️🔥🔥
194,ERICK CAWAPRES SIAPA..
195,Tetep ganjar mahwud
196,YES 100 % INDONESIA BUTUH PERUBAHAN..AMIN
197,PAK ANIES BASWEDAN MENANG..INDONESIA KEMBALI MERDEKA DAN SEJAHTERA
198,Iya betul Pak. Mohon masalah lingkungan hidup diperbaiki pak. Saya dukung Pak Prabowo kalo mau bawa isu lingkungan ini.
199,Bukan gk sport pk wowo cm takutnya nanti jd presiden balik mendukung lagi ke Cendana  keluarga orba.
200,"Diantara ketiga calon adalah putra baik Indonesia mari kita pilih yg TERBAIK DARI YG BAIK 🤝🤝 bagi saya mari kita pilih yg sudah berpengalaman jadi kepala daerah dan Prabowo BG saya cocoknya jd menhan,tinggal bandingkan secara objektif  antara Anis dan ganjar👌🤝🤝👍🇮🇩🇮🇩"
201,"Belum kompetisi udah curang duluan, maka jgn harap play fair, krn diawal udah pake segala cara"
202,Persiapan untuk cadangan gibran
203,Harga BBM naik gimana Rik? BUMN rugi gimana Rik?
204,Ah
205,Haha berharap jadi menteri lagi karena ga bisa jadi Wapres😂😂😂😂😂
206,"Udah basi cara berpolitiknya pada ,,"
207,Gasss poll pak🔥🔥
208,Bebas....mikir nasib sendiri2 saja...ngak kerja ya ngak makan....
