slang,formal
klo,kalo
gw,gue
qt,kita
ky,kaya
gini,begini
y,ya
bener2,benar-benar
ngerii,ngeri
digambarin,digambarkan
klen,kalian
kek,kayak
bangke,bangkai
tp,tapi
gw,gue
kog,kok
jd,jadi
yha,ya
liatnya,lihatnya
bedanyaaa,bedanya
sm,sama
negri,negeri
mbk,mbak
pgin,pengin
fto,foto
krudungan,kerudungan
kakk,kak
ajaa,saja
maksutku,maksudku
kerennnnn,keren
njirr,anjir
ngerasa,merasa
bgt,banget
jd'y,jadinya
tp,tapi
manisnyaaaa,manisnya
thun,tahun
brp,berapa
bgt,banget
mbg,mbak
cantikk,cantik
bangeet,banget
sm,sama
km,kamu
jgn,jangan
ngaco,mengaco
ngomen,mengomentari
msh,masih
kaaakk,kak
gituh,begitu
tenggah,tengah
lucuuuu,lucu
yaa,ya
tpi,tapi
akuuu,aku
uuuuuaaaaaaaaaappppppppppiiiiiiiiiiiiiiiiiikkkkkkkkkkkkkkkk,apik
kocakkkkkkkkkkkkkk,kocak
ksukaanmuuu,kesukaanmu
bagiii,bagi
ayooo,ayo
nontonx,nontonnya
yach,ya
dpn,depan
pi,tapi
tu,itu
penasarannnn,penasaran
gilakkkkkk,gila
mauuu,mau
nontoonnn,nonton
cepet2,cepat-cepat
kepingin,pengin
nontonnnn,nonton
deeek,dek
ntappp,mantap
deg2an,deg-degan
liatnya,lihatnya
cyiiin,cinta
iyha,iya
kureeeen,keren
muantaap,mantap
nontonx,nontonnya
ga,tidak
pake,pakai
ngantri,mengantri
bli,beli
org,orang
nraktir,mentraktir
nonton,nonton
sbnyak,sebanyak
penasaraaann,penasaran
ga,tidak
kyk,kayak
ayoooo,ayo
nii,ini
nontonya,nontonnya
k,ke
kl,kalo
nunggu,menunggu
dpt,dapat
qta,kita
gw,gue
peen,pengin
lw,lu
gga,tidak
nunggu,menunggu
yaah,ya
asikkk,asik
gilak,gila
mcm,macam
ceritax,ceritanya
yoooiii,yoi
daah,deh
kuy,yuk
udahh,sudah
tauuuuu,tau
ngga,tidak
sabarrrrr,sabar
kqmu,kamu
banggain,banggakan
ngadain,mengadakan
ngak,tidak
ngadain,mengadakan
thn,tahun
knp,kenapa
pengan,pengin
ngadain,mengadakan
gk,tidak
sendeng,senang
simpen,simpan
gakk,tidak
bagiin,bagikan
nangis,menangis
nanggepin,menanggapi
pingin,pengin
gk,tidak
sma,sama
kapn,kapan
barang2,barang-barang
sma,sama
kirimin,mengirimi
tpi,tapi
gk,tidak
senengin,senangi
ngasih,mengasih
asikkk,asik
udh,sudah
ama,sama
ampunnnn,ampun
bln,bulan
senengg,senang
teruzzz,terus
gtu,begitu
mantabb,mantab
sumpahh,sumpah
yaa,ya
smua,semua
diluarann,diluaran
trbaik,terbaik
dlam,dalam
smua,semua
anjirrrr,anjir
jendess,janda
dh,deh
sichh,sih
jgn,jangan
pgn,pengin
namnya,namanya
kaka,kakak
gk,tidak
ninggalin,meninggalkan
orng,orang
geh,gih
ma,sama
nggak,tidak
sma,sama
kk,kakak
ber2,berdua
22nya,dua-duanya
aduuhhh,aduh
miripp,mirip
silauuu,silau
waww,wow
kerenn,keren
uga,juga
njiirr,anjir
bgs,bagus
bgt,banget
kesinii,kesini
gemay,gemas
dstu,disitu
tmpt,tempat
