index,comments
114,"Ini adalah contoh bagaimana kebijakan disusun berdasarkan gagasan,
Bukan sekadar kebijakan tanpa narasi,
Tanpa gagasan. Urutannya harus jelas bukan hanya karya,
Karya,
Tetapi karya yang berbasis narasi,
Narasi berbasis gagasan.
Gagasannya di sini adalah yang tadi saya sampaikan kesemakmuran, kesetaraan, keadilan sosial bagi seluruh indonesia...😂😂😂😂"
115,Ngga kebayang kl ini jd presiden bakan hancuuurrrr
116,Berangan2 aja bisanya
117,Semoga do'a hajat orang banyak menjadikan pak @aniesbaswedan  menjadi pemimpin yang benar di butuhkan warga @indonesia.❤️🔥
118,Anies mah terbaik🙌🙌 jadi Pilpres🙌🙌🙌
119,Kadrun 😂😂😂😂
120,"Gini pak Anis. Kalau gagasan Pak Anis memang bisa di implementasikan, kenapa pada saat jadi menteri pendidikan tidak diberi gagasan? Sehingga dipecat jd menteri. Kedua.. saat jadi Gubernur, berapa gagasan bapak? San berapa yg terimplementasi? Pengen tau pak...."
121,"Ini mah bukan calon presiden, ini calon guru tk😂😂😂😂"
122,Jakarta kemarin ada perubahan ga pak? 🙏🙏🙏
123,"Helehhh,,,,apa lg yg mau di rubah, nama² jalan kah😂😂"
124,Perubahan 2024 PASTI
125,❤️❤️❤️
126,"wah wah postingan tentang anies baswedan selalu jadi ladang rezeki bagi sebagian orang. yah begitulah, lumayanlah bisa dapat duit dari hasil hujatan... 😂"
127,Siap hukum mati koruptor dan Indonesia lunas hutang selama lima tahun saya yakin tiga priode hanya itu yang saya harapkan jika terpilih
128,Jadi RT saja lu gagal
129,"Yg sabar ya pa @aniesbaswedan .. Banyak yg buly namun lebih banyak yg cinta kepada bapak. Hiraukan saja omongan dari akun2 palsu yg membuly bapak. Karena inilah politik di #indonesia disaat waktu pemilu banyak orang2 bayaran yg sudah ditugaskan. Semoga Allah meridhoi serta melindungi calon Presiden seperti bapak @prabowo @ganjar_pranowo @aniesbaswedan .. Siapapun yg memimpin negeri ini itulah yg di Amanah kan, dan siapa yg nanti diberi Amanah mempertanggungjawabkan di Dunia dan Akhirat."
130,Kebanyakan omong loe nies...jakarta saja tdk ada perubahan..loe mau jd presiden urus negara 😅🤣🤣 sdhlah nies buang2 tenaga bcr2 perubahan..omong rmh DP 0% sj tdk ada hasilx smp skrg 😀😀🤣🤣🤣🤣
131,Semuanya khususnya kesejahteraan masyarakat seluruh rakyat Indonesia dlm berkah Rahmat lindungan pertolongan Allah SWT jadi negara super power melebihi USA sebab secara sda melimpah banyak ragamnya tanah yang subur alam indah bagaikan surgawi letak geografis yang strategis udah cukup buat Indonesia super power Singapore gak punya apa-apa bisa Indonesia jauh lebih bisa bila ditangan pemimpin yang cerdas mumpuni ilmunya berbagai bidang paham ipoleksosbudhankam geopolitik dlm luar negeri kelola negara dg baik benar dan takuuuut pengadilan akhirat
132,"Jangan seperti presiden dari partai PDIP semua jadi sulit ,semua sembako tinggi meroket ,harga2 menjulang ,BBM ,listrik, minyak gor, pajak, sekolah kacau pakai zona, korupsi semakin banyak , meroket ,begal, Narkoba ,banjir jakarta ,KKN ,Nepotisme ,polusi udara Jakarta salah tertinggi di dunia pembunuhan terencana semakin, banyak ini nyata sekali ."
133,Dulu janji Rumah DP 0 Rupiah...dan sekarang janji lagi pak Anis 😂?
134,semoga terjaga lurus niat engkau dan semoga Allah kuatkan engkau dengan pertolongan-Nya yang terbaik
135,Perubahan nama Rumah Sakit jadi Rumah Sehat 😂
136,Bismillah pak Anis prediden RI 2024👏🙌😍
137,"Pak @aniesbaswedan , mau tnya Pak... terkait Pajak, apa pandangan  Bapak terkait pendapatan Negara dari Pajak? Krna Saya dlu inget Pak Anies pernah membebaskan PBB, diskon PBB untuk warga jakarta dg kategori tertentu. Trus ad statement Pak Anies yg kurang lebih begini, ""pendapatan daerah hanya mengandalkan Pajak itu g kreatif namanya"". Jujur y Pak  pada saat covid 19 kmrn, pemerintah sempat membebaskan PPh 21 kepada pekerja, dan ini terasa banget Pak dri sisi pendapatan kami. Saya yakin lah, pembangunan Indonesia bisa berjalan hanya dari pemanfaatan kekayaan Alam saja sudah Cukup. Mohon jawaban dan pendapat nya Pak @aniesbaswedan ..."
138,"Bismillah...tidak akan berubah suatu kaum, jika bukan mereka sendiri yang merubahnya. Keadilan yang sejahtera dan proaktif meningkatkan kesejahteraan serta kebahagian masyarakat Indonesia yang miskin."
139,perubahan adalah partai pendukung nya berubah ubah pikiran
140,"Dengan kebersamaan, kesolidan, kekompakan dan semangat dari koalisi perubahan, Insya Allah, mendapatkan kepercayaan rakyat utk menang di Pilpres 2024. Termasuk utk para Caleg di DPR & DPRD.  Isu adanya partai koalisi yang berkhianat agar dibuktikan itu Hoax dan tidak benar."
141,Sapa yg bilang sulit mendapatkan pupuk?? Di Grobogan langsung kena skak Sama bupati Grobogan langsung dan harga apa yg mahal
142,"Yang penting pas udah menjabat jangan lupa sama yang pernah diomongin pak,kalo perlu dicatat disimpen di dindin kamar🙏🏻"
143,"Perubahan yg dlu gak kenal politik, yg dlu sbg pendidik, cendekiawan dan skrg sdah masuk dlam dunia politik... Sya suka pak anies yg dlu.. Diwaktu menjdi moderator debat presiden.. Mksih pak anis.  Mengajarkan sya jgn mudah  mengidolakan seseorg, krna idola bisa berubah pikiran..."
144,Capres retorika 😂
145,Semoga Allah ta'alaa beri kemudahan bpk Anies... Aamiin allaahumma aamiin
146,Suka
